Id;AnfrageId;CPEId;Typ;ResultNr;LocalScore;GlobalScore;Created
127;44;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
128;44;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
129;55;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
130;55;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
131;55;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
132;55;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
133;55;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
134;55;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
135;55;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
136;55;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
137;55;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
138;55;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
139;55;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
140;55;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
141;55;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
142;55;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
143;55;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
144;55;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
145;55;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
146;55;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
147;55;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
148;55;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
149;55;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
150;55;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
151;57;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
152;57;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
153;57;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
154;57;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
155;57;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
156;57;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
157;57;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
158;57;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
159;57;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
160;57;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
161;57;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
162;57;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
163;57;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
164;57;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
165;57;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
166;57;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
167;57;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
168;57;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
169;57;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
170;57;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
171;57;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
172;57;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
173;71;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
174;71;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
175;71;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
176;71;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
177;71;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
178;71;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
179;71;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
180;71;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
181;71;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
182;71;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
183;71;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
184;71;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
185;71;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
186;71;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
187;71;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
188;71;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
189;71;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
190;71;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
191;71;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
192;71;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
193;71;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
194;71;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
195;79;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
196;79;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
197;79;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
198;79;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
199;79;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
200;79;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
201;79;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
202;79;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
203;79;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
204;79;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
205;79;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
206;79;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
207;79;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
208;79;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
209;79;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
210;79;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
211;79;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
212;79;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
213;79;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
214;79;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
215;79;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
216;79;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
217;80;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
218;80;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
219;80;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
220;80;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
221;80;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
222;80;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
223;80;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
224;80;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
225;80;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
226;80;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
227;80;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
228;80;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
229;80;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
230;80;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
231;80;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
232;80;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
233;80;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
234;80;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
235;80;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
236;80;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
237;80;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
238;80;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
239;84;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
240;84;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
241;84;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
242;84;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
243;84;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
244;84;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
245;84;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
246;84;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
247;84;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
248;84;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
249;84;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
250;84;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
251;84;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
252;84;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
253;84;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
254;84;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
255;84;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
256;84;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
257;84;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
258;84;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
259;84;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
260;84;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
261;101;747676;4;0;NULL;NULL;2023-07-17 23:13:08.783
262;101;747677;4;0;NULL;NULL;2023-07-17 23:13:08.783
263;101;747928;4;0;NULL;NULL;2023-07-17 23:13:08.783
264;101;747929;4;0;NULL;NULL;2023-07-17 23:13:08.783
265;101;747930;4;0;NULL;NULL;2023-07-17 23:13:08.783
266;101;747931;4;0;NULL;NULL;2023-07-17 23:13:08.783
267;101;747932;4;0;NULL;NULL;2023-07-17 23:13:08.783
268;101;747933;4;0;NULL;NULL;2023-07-17 23:13:08.783
269;101;747934;4;0;NULL;NULL;2023-07-17 23:13:08.783
270;101;747935;4;0;NULL;NULL;2023-07-17 23:13:08.783
271;101;747936;4;0;NULL;NULL;2023-07-17 23:13:08.783
272;101;747937;4;0;NULL;NULL;2023-07-17 23:13:08.783
273;101;747938;4;0;NULL;NULL;2023-07-17 23:13:08.783
274;101;747939;4;0;NULL;NULL;2023-07-17 23:13:08.783
275;101;747940;4;0;NULL;NULL;2023-07-17 23:13:08.783
276;101;747941;4;0;NULL;NULL;2023-07-17 23:13:08.783
277;101;747942;4;0;NULL;NULL;2023-07-17 23:13:08.783
278;101;747943;4;0;NULL;NULL;2023-07-17 23:13:08.783
279;101;747944;4;0;NULL;NULL;2023-07-17 23:13:08.783
280;101;747945;4;0;NULL;NULL;2023-07-17 23:13:08.783
281;101;747946;4;0;NULL;NULL;2023-07-17 23:13:08.783
282;101;747947;4;0;NULL;NULL;2023-07-17 23:13:08.783
283;35;747948;4;0;NULL;NULL;2023-07-17 23:13:08.783
284;35;747949;4;0;NULL;NULL;2023-07-17 23:13:08.783
285;35;747950;4;0;NULL;NULL;2023-07-17 23:13:08.783
286;35;747951;4;0;NULL;NULL;2023-07-17 23:13:08.783
287;35;747952;4;0;NULL;NULL;2023-07-17 23:13:08.783
288;35;747953;4;0;NULL;NULL;2023-07-17 23:13:08.783
289;35;747954;4;0;NULL;NULL;2023-07-17 23:13:08.783
290;35;747955;4;0;NULL;NULL;2023-07-17 23:13:08.783
291;35;747956;4;0;NULL;NULL;2023-07-17 23:13:08.783
292;35;747957;4;0;NULL;NULL;2023-07-17 23:13:08.783
293;35;747958;4;0;NULL;NULL;2023-07-17 23:13:08.783
294;35;747959;4;0;NULL;NULL;2023-07-17 23:13:08.783
295;35;747960;4;0;NULL;NULL;2023-07-17 23:13:08.783
296;35;747961;4;0;NULL;NULL;2023-07-17 23:13:08.783
297;41;747948;4;0;NULL;NULL;2023-07-17 23:13:08.783
298;41;747949;4;0;NULL;NULL;2023-07-17 23:13:08.783
299;41;747950;4;0;NULL;NULL;2023-07-17 23:13:08.783
300;41;747951;4;0;NULL;NULL;2023-07-17 23:13:08.783
301;41;747952;4;0;NULL;NULL;2023-07-17 23:13:08.783
302;41;747953;4;0;NULL;NULL;2023-07-17 23:13:08.783
303;41;747954;4;0;NULL;NULL;2023-07-17 23:13:08.783
304;41;747955;4;0;NULL;NULL;2023-07-17 23:13:08.783
305;41;747956;4;0;NULL;NULL;2023-07-17 23:13:08.783
306;41;747957;4;0;NULL;NULL;2023-07-17 23:13:08.783
307;41;747958;4;0;NULL;NULL;2023-07-17 23:13:08.783
308;41;747959;4;0;NULL;NULL;2023-07-17 23:13:08.783
309;41;747960;4;0;NULL;NULL;2023-07-17 23:13:08.783
310;41;747961;4;0;NULL;NULL;2023-07-17 23:13:08.783
311;63;747948;4;0;NULL;NULL;2023-07-17 23:13:08.783
312;63;747949;4;0;NULL;NULL;2023-07-17 23:13:08.783
313;63;747950;4;0;NULL;NULL;2023-07-17 23:13:08.783
314;63;747951;4;0;NULL;NULL;2023-07-17 23:13:08.783
315;63;747952;4;0;NULL;NULL;2023-07-17 23:13:08.783
316;63;747953;4;0;NULL;NULL;2023-07-17 23:13:08.783
317;63;747954;4;0;NULL;NULL;2023-07-17 23:13:08.783
318;63;747955;4;0;NULL;NULL;2023-07-17 23:13:08.783
319;63;747956;4;0;NULL;NULL;2023-07-17 23:13:08.783
320;63;747957;4;0;NULL;NULL;2023-07-17 23:13:08.783
321;63;747958;4;0;NULL;NULL;2023-07-17 23:13:08.783
322;63;747959;4;0;NULL;NULL;2023-07-17 23:13:08.783
323;63;747960;4;0;NULL;NULL;2023-07-17 23:13:08.783
324;63;747961;4;0;NULL;NULL;2023-07-17 23:13:08.783
325;75;747948;4;0;NULL;NULL;2023-07-17 23:13:08.783
326;75;747949;4;0;NULL;NULL;2023-07-17 23:13:08.783
327;75;747950;4;0;NULL;NULL;2023-07-17 23:13:08.783
328;75;747951;4;0;NULL;NULL;2023-07-17 23:13:08.783
329;75;747952;4;0;NULL;NULL;2023-07-17 23:13:08.783
330;75;747953;4;0;NULL;NULL;2023-07-17 23:13:08.783
331;75;747954;4;0;NULL;NULL;2023-07-17 23:13:08.783
332;75;747955;4;0;NULL;NULL;2023-07-17 23:13:08.783
333;75;747956;4;0;NULL;NULL;2023-07-17 23:13:08.783
334;75;747957;4;0;NULL;NULL;2023-07-17 23:13:08.783
335;75;747958;4;0;NULL;NULL;2023-07-17 23:13:08.783
336;75;747959;4;0;NULL;NULL;2023-07-17 23:13:08.783
337;75;747960;4;0;NULL;NULL;2023-07-17 23:13:08.783
338;75;747961;4;0;NULL;NULL;2023-07-17 23:13:08.783
