Id;Part;Vendor;Product;Version;Created
110;NULL;microsoft;windows;7 ent sp1;2023-07-08 03:10:24.220
111;NULL;oracle;oracle database;12.2.0.1.0;2023-07-08 03:10:24.983
112;NULL;oracle;oracle database;12.1.0;2023-07-08 03:10:26.787
113;NULL;oracle;oracle olap api;12.1.0.2.0;2023-07-08 03:10:27.937
114;NULL;microsoft;windows;7 ult sp1;2023-07-08 03:10:52.583
115;NULL;microsoft;sql server;2014 sp2;2023-07-08 03:10:53.643
116;NULL;oracle;oracle database;9.2.0.5.0;2023-07-08 03:10:55.013
117;NULL;microsoft;windows server;2008 ent sp2;2023-07-08 03:10:56.157
118;NULL;microsoft;windows server;windows 2019 server standard edition x64;2023-07-08 03:10:56.797
119;NULL;oracle;oracle database;210;2023-07-08 03:10:57.467
120;NULL;microsoft;windows server;2008 r2 ent x64 windows 2008 r2 server e;2023-07-08 03:10:58.627
121;NULL;oracle;oracle database;12.2.0;2023-07-08 03:11:00.330
122;NULL;oracle;oracle olap rdbms files;11.2.0;2023-07-08 03:11:01.397
123;NULL;microsoft;windows server;2008 r2 ent x64 sp1;2023-07-08 03:11:22.403
124;NULL;oracle;oracle label security;11.2.0.2.0;2023-07-08 03:11:23.540
125;NULL;microsoft;windows server;2008 std sp2;2023-07-08 03:11:40.830
126;NULL;microsoft;windows server;2003 ent sp2;2023-07-08 03:11:41.617
127;NULL;oracle;oracle database;8.1.7.4.1;2023-07-08 03:11:42.577
128;NULL;oracle;oracle olap api;9.2.0;2023-07-08 03:11:43.967
129;NULL;oracle;oracle olap cwm lite;9.2.0;2023-07-08 03:12:08.343
130;NULL;oracle;oracle data mining;11.2.0.2.0;2023-07-08 03:12:25.937
131;NULL;oracle;oracle database;<generic>;2023-07-08 03:12:44.300
