Id;AnfrageId;CPEId;Typ;ResultNr;LocalScore;GlobalScore;Created
1;42;434676;4;0;NULL;NULL;2023-07-17 23:13:08.783
2;42;434677;4;0;NULL;NULL;2023-07-17 23:13:08.783
3;42;434678;4;0;NULL;NULL;2023-07-17 23:13:08.783
4;42;434679;4;0;NULL;NULL;2023-07-17 23:13:08.783
5;42;434680;4;0;NULL;NULL;2023-07-17 23:13:08.783
6;42;434681;4;0;NULL;NULL;2023-07-17 23:13:08.783
7;42;434682;4;0;NULL;NULL;2023-07-17 23:13:08.783
8;42;434683;4;0;NULL;NULL;2023-07-17 23:13:08.783
9;42;434684;4;0;NULL;NULL;2023-07-17 23:13:08.783
10;42;434685;4;0;NULL;NULL;2023-07-17 23:13:08.783
11;42;434686;4;0;NULL;NULL;2023-07-17 23:13:08.783
12;42;434687;4;0;NULL;NULL;2023-07-17 23:13:08.783
13;42;434688;4;0;NULL;NULL;2023-07-17 23:13:08.783
14;42;434689;4;0;NULL;NULL;2023-07-17 23:13:08.783
15;42;434690;4;0;NULL;NULL;2023-07-17 23:13:08.783
16;42;434691;4;0;NULL;NULL;2023-07-17 23:13:08.783
17;42;434692;4;0;NULL;NULL;2023-07-17 23:13:08.783
18;42;434693;4;0;NULL;NULL;2023-07-17 23:13:08.783
19;42;434694;4;0;NULL;NULL;2023-07-17 23:13:08.783
20;42;434695;4;0;NULL;NULL;2023-07-17 23:13:08.783
21;42;434696;4;0;NULL;NULL;2023-07-17 23:13:08.783
22;42;434697;4;0;NULL;NULL;2023-07-17 23:13:08.783
23;42;434698;4;0;NULL;NULL;2023-07-17 23:13:08.783
24;42;434699;4;0;NULL;NULL;2023-07-17 23:13:08.783
25;42;434700;4;0;NULL;NULL;2023-07-17 23:13:08.783
26;42;434701;4;0;NULL;NULL;2023-07-17 23:13:08.783
27;42;434702;4;0;NULL;NULL;2023-07-17 23:13:08.783
28;42;434703;4;0;NULL;NULL;2023-07-17 23:13:08.783
29;42;434704;4;0;NULL;NULL;2023-07-17 23:13:08.783
30;42;434705;4;0;NULL;NULL;2023-07-17 23:13:08.783
31;42;434706;4;0;NULL;NULL;2023-07-17 23:13:08.783
32;42;434707;4;0;NULL;NULL;2023-07-17 23:13:08.783
33;42;434708;4;0;NULL;NULL;2023-07-17 23:13:08.783
34;42;434709;4;0;NULL;NULL;2023-07-17 23:13:08.783
35;42;434710;4;0;NULL;NULL;2023-07-17 23:13:08.783
36;42;434711;4;0;NULL;NULL;2023-07-17 23:13:08.783
37;42;434712;4;0;NULL;NULL;2023-07-17 23:13:08.783
38;42;434713;4;0;NULL;NULL;2023-07-17 23:13:08.783
39;42;434714;4;0;NULL;NULL;2023-07-17 23:13:08.783
40;42;434715;4;0;NULL;NULL;2023-07-17 23:13:08.783
41;42;434716;4;0;NULL;NULL;2023-07-17 23:13:08.783
42;42;434717;4;0;NULL;NULL;2023-07-17 23:13:08.783
43;42;434718;4;0;NULL;NULL;2023-07-17 23:13:08.783
44;42;434719;4;0;NULL;NULL;2023-07-17 23:13:08.783
45;42;434720;4;0;NULL;NULL;2023-07-17 23:13:08.783
46;42;434721;4;0;NULL;NULL;2023-07-17 23:13:08.783
47;42;434722;4;0;NULL;NULL;2023-07-17 23:13:08.783
48;42;434723;4;0;NULL;NULL;2023-07-17 23:13:08.783
