Id;AnfrageId;CPEId;Typ;ResultNr;LocalScore;GlobalScore;Created
1;32;747676;3;0;0,001488095;0,1129336;2023-07-13 23:37:40.190
2;32;747667;3;1;0,001488095;0,1129336;2023-07-13 23:37:40.273
3;32;747678;3;2;0,001488095;0,1129336;2023-07-13 23:37:40.277
4;32;747670;3;3;0,001488095;0,1129336;2023-07-13 23:37:40.277
5;32;747671;3;4;0,001488095;0,1129336;2023-07-13 23:37:40.277
6;32;747672;3;5;0,001488095;0,1129336;2023-07-13 23:37:40.280
7;32;747676;2;0;8,75436E-07;0,1129336;2023-07-13 23:38:26.480
8;32;747740;2;1;8,75436E-07;0,1129336;2023-07-13 23:38:26.483
9;32;747882;2;2;8,75436E-07;0,1129336;2023-07-13 23:38:26.483
10;32;747939;2;3;8,75436E-07;0,1129336;2023-07-13 23:38:26.487
11;32;747009;2;4;0,0008865249;0,1314521;2023-07-13 23:38:26.487
12;32;745279;2;5;0,0009874918;0,09441511;2023-07-13 23:38:26.490
13;32;747676;1;0;0,001488095;0,1129336;2023-07-13 23:39:47.237
14;32;747667;1;1;0,001488095;0,1129336;2023-07-13 23:39:47.237
15;32;747678;1;2;0,001488095;0,1129336;2023-07-13 23:39:47.237
16;32;747670;1;3;0,001488095;0,1129336;2023-07-13 23:39:47.240
17;32;747671;1;4;0,001488095;0,1129336;2023-07-13 23:39:47.240
18;32;747672;1;5;0,001488095;0,1129336;2023-07-13 23:39:47.240
19;33;993541;3;0;1,331414E-07;0,108005;2023-07-13 23:39:54.220
20;33;993559;3;1;1,331414E-07;0,108005;2023-07-13 23:39:54.220
21;33;993513;3;2;1,331414E-07;0,108005;2023-07-13 23:39:54.223
22;33;993521;3;3;1,331414E-07;0,108005;2023-07-13 23:39:54.223
23;33;993539;3;4;1,331414E-07;0,108005;2023-07-13 23:39:54.227
24;33;993560;3;5;1,331414E-07;0,108005;2023-07-13 23:39:54.227
25;33;993541;2;0;1,884389E-08;0,108005;2023-07-13 23:40:35.707
26;33;993559;2;1;1,884389E-08;0,108005;2023-07-13 23:40:35.710
